state,Population,Race,Age,Year
 Mississippi,2,Hispanic,,
 Missouri,3,Hispanic,,
 Montana,3,Hispanic,,
 Nebraska,9,Hispanic,,
 Nevada,27,Hispanic,,
 New Hampshire,3,Hispanic,,
 New Jersey,18,Hispanic,,
 New Mexico,47,Hispanic,,
 New York,18,Hispanic,,
 North Carolina,8,Hispanic,,
 North Dakota,2,Hispanic,,
 Ohio,3,Hispanic,,
 Oklahoma,9,Hispanic,,
 Oregon,12,Hispanic,,
 Pennsylvania,6,Hispanic,,
 Puerto Rico,99,Hispanic,,
 Rhode Island,13,Hispanic,,
 South Carolina,5,Hispanic,,
 South Dakota,3,Hispanic,,
 Tennessee,4,Hispanic,,
 Texas,38,Hispanic,,
 Utah,13,Hispanic,,
 Vermont,1,Hispanic,,
 Virginia,8,Hispanic,,
 Washington,11,Hispanic,,
 West Virginia,1,Hispanic,,
 Wisconsin,6,Hispanic,,
 Wyoming,9,Hispanic,,
