Year,Candidate,Avg_Sentiment
2016,Democrat,0.3640820575295926
2016,Republican,0.4036780355948681
2020,Democrat,0.0016201125280288
2020,Republican,-0.0021822172428247
2024,Republican,0.4516899923638214
2024,Democrat,0.3788153863027722
