State,Year,18-20,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,Candidate
 Vermont,2022,2,1,1,1,1,1,1,1,1,Republican
 Vermont,2020,0,0,0,0,0,0,0,0,0,Republican
 Vermont,2016,2,1,1,1,1,1,1,1,1,Republican
 Vermont,2020,0,0,0,0,0,0,0,0,0,Democrat
 Vermont,2008,2,1,1,1,1,1,1,1,1,Republican
 Vermont,2022,2,1,1,1,1,1,1,1,1,Democrat
 Vermont,2012,2,1,1,1,1,1,1,1,1,Republican
 Vermont,2016,2,1,1,1,1,1,1,1,1,Democrat
 Vermont,2008,2,1,1,1,1,1,1,1,1,Democrat
 Vermont,2012,2,1,1,1,1,1,1,1,1,Democrat
 Utah,2020,0,0,0,0,0,0,0,0,0,Democrat
 Utah,2008,2,1,1,1,1,1,1,1,1,Republican
 Utah,2022,2,1,1,1,1,1,1,1,1,Democrat
 Utah,2008,2,1,1,1,1,1,1,1,1,Democrat
 Utah,2012,2,1,1,1,1,1,1,1,1,Democrat
 Utah,2016,2,1,1,1,1,1,1,1,1,Democrat
 Utah,2022,2,1,1,1,1,1,1,1,1,Republican
 Utah,2016,2,1,1,1,1,1,1,1,1,Republican
 Utah,2012,2,1,1,1,1,1,1,1,1,Republican
 Utah,2020,0,0,0,0,0,0,0,0,0,Republican
 Texas,2022,2,1,1,1,1,1,1,1,1,Republican
 Texas,2022,2,1,1,1,1,1,1,1,1,Democrat
 Texas,2008,2,1,1,1,1,1,1,1,1,Democrat
 Texas,2012,2,1,1,1,1,1,1,1,1,Democrat
 Texas,2016,2,1,1,1,1,1,1,1,1,Democrat
 Texas,2020,0,0,0,0,0,0,0,0,0,Republican
 Texas,2020,0,0,0,0,0,0,0,0,0,Democrat
 Texas,2008,2,1,1,1,1,1,1,1,1,Republican
 Texas,2012,2,1,1,1,1,1,1,1,1,Republican
 Texas,2016,2,1,1,1,1,1,1,1,1,Republican
 Tennessee,2020,0,0,0,0,0,0,0,0,0,Republican
 Tennessee,2022,2,1,1,1,1,1,1,1,1,Republican
 Tennessee,2008,2,1,1,1,1,1,1,1,1,Democrat
 Tennessee,2020,0,0,0,0,0,0,0,0,0,Democrat
 Tennessee,2016,2,1,1,1,1,1,1,1,1,Republican
 Tennessee,2012,2,1,1,1,1,1,1,1,1,Republican
 Tennessee,2008,2,1,1,1,1,1,1,1,1,Republican
 Tennessee,2016,2,1,1,1,1,1,1,1,1,Democrat
