id,text,time,candidate,average_sentiment
780797677009244160,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ",2016,Democrat,0.3640820575295926
780796008854876160,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM",2016,Republican,0.4036780355948681
780794828007305217,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm",2016,Democrat,0.3640820575295926
780792352214573057,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",2016,Democrat,0.3640820575295926
780790673851224064,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm",2016,Democrat,0.3640820575295926
780787312460464129,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon,2016,Democrat,0.3640820575295926
780783037743267840,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp,2016,Republican,0.4036780355948681
780782299524792320,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",2016,Democrat,0.3640820575295926
780781898071207940,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km",2016,Republican,0.4036780355948681
780781327050235905,Hillary's been failing for 30 years in not getting the job done - it will never change.,2016,Republican,0.4036780355948681
780768433910710272,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z",2016,Democrat,0.3640820575295926
780766220618436608,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm,2016,Republican,0.4036780355948681
780758306239512577,The #1 trend on Twitter right now is #TrumpWon - thank you!,2016,Republican,0.4036780355948681
780757611914391552,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,2016,Republican,0.4036780355948681
780752731418009600,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y",2016,Republican,0.4036780355948681
780752274020761601,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,2016,Republican,0.4036780355948681
780746901591199744,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO",2016,Democrat,0.3640820575295926
780738162880634880,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb,2016,Democrat,0.3640820575295926
780719876335894528,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,2016,Republican,0.4036780355948681
780656338628145153,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb",2016,Republican,0.4036780355948681
780646830090641408,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn",2016,Republican,0.4036780355948681
780644145492877312,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op",2016,Republican,0.4036780355948681
780642262921441280,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu",2016,Republican,0.4036780355948681
780637633890451456,".@newtgingrich just said ""a historic victory for Trump."" NICE!",2016,Republican,0.4036780355948681
780637326921830400,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc",2016,Democrat,0.3640820575295926
780626558176333824,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",2016,Republican,0.4036780355948681
780619128210087937,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J,2016,Democrat,0.3640820575295926
780618680338178048,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8",2016,Republican,0.4036780355948681
780618351601192960,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC",2016,Republican,0.4036780355948681
780617562476441601,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ",2016,Republican,0.4036780355948681
780616114120294400,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,2016,Democrat,0.3640820575295926
780613300086276096,#DebateNight https://t.co/x4oTfkIlHS,2016,Democrat,0.3640820575295926
780611407221960704,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z",2016,Democrat,0.3640820575295926
780607486516690944,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,2016,Democrat,0.3640820575295926
780606592337252352,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",2016,Democrat,0.3640820575295926
780606012667691008,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",2016,Democrat,0.3640820575295926
780603720191148032,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,2016,Democrat,0.3640820575295926
780602342890737664,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF,2016,Democrat,0.3640820575295926
780600557325156353,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY,2016,Democrat,0.3640820575295926
780600065945657344,Gracias señora @HillaryClinton su respeto a las mujeres y nuestras diferencias la hacen grande! Estoy con usted!,2016,Democrat,0.3640820575295926
780599274384027648,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs,2016,Democrat,0.3640820575295926
780598650628169729,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc,2016,Democrat,0.3640820575295926
780598541441912832,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs",2016,Republican,0.4036780355948681
780597941979480064,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,2016,Republican,0.4036780355948681
780597846814982144,"When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu",2016,Democrat,0.3640820575295926
780597333650239488,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight https://t.co/XlthzE8X8j,2016,Democrat,0.3640820575295926
780596871102201856,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L,2016,Republican,0.4036780355948681
780596663345905664,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight",2016,Democrat,0.3640820575295926
