Compound,Positive,Negative,Neutral
6444.0,6444.0,6444.0,6444.0
0.13463012104283054,0.1480667287399131,0.07528367473618872,0.7766471135940409
0.5017478944913376,0.15460842845828185,0.11362391944929619,0.16015113513038393
-0.9652,0.0,0.0,0.204
-0.18005,0.0,0.0,0.667
0.07375,0.122,0.0,0.7765
0.5461,0.25,0.136,0.891
0.9735,0.796,0.773,1.0
